title,denomination,year,action,reason
빈야드빈야드교회· 토론토공항교회,통합,1996/81,도입금지,"성령론, 특이현상의 비성경성, 무질서한 예배"
빈야드빈야드교회· 토론토공항교회,고신,2007/57,불건전운동,"빈야드운동, 피터와그너 목사가 주도하는신사도적운동 불건전 운동으로 규정"
빈야드빈야드교회· 토론토공항교회,고신,2011/61,불건전운동 재확인,
빈야드빈야드교회· 토론토공항교회,합동,1997/82,"참여자, 동조자 징계","성령론, 특이현상의 비성경성, 무질서한 예배"
빈야드빈야드교회· 토론토공항교회,기성,1998/92,사이비성,"성령론, 특이현상의 비성경성, 무질서한 예배"
삼보일배,통합,2006/91,참석금지,불교의 예불 의식
"생명수교회양결, 강성민",통합,2022/107,참여금지,예장고신 측 신사도운동 관련목사 면직
서달석강서중앙교회(現 서울중앙침례교회),통합,1993/78,이단,"구원관(구원파와 같음) 종말론,교회의식절기"
셀,통합,2009/94,총회의 지도에따를 것을 권함,초신자를 전도하는 긍정적 측면이 있으나기존 남선교회와 여전도회와의 갈등유발소지 있음
소에스더우리제일교회,백석대신,2018/103,참여금지,비성경적 방언 기도
소천섭구원파(기독교복음침례회),통합,1974/59,"제명, 강담집회 금지",본 장로회와는 신앙이 맞지 않음
손원영기독교대한감리회,통합,2023/108,감리교단의 결정 존중향후 2년 정도 예의주시,종교다원주의
손원영기독교대한감리회,합신,2023/108,참여 및 교류 금지,이단성(2년 후 재보고)
스베덴보리,고신,2009/59,이단,"삼위일체론, 신관, 인간관, 천사론,창조에 대한 견해, 재림론, 종말론 등"
스베덴보리,합동,2017/102,이단,"신론, 삼위일체, 종말론, 계시관,재림론, 교회론"
신사도운동피터 와그너,고신,2009/59,불건전운동,"직통계시, 은사중단론 거부"
신사도운동피터 와그너,고신,2011/61,불건전운동 재확인,
신사도운동피터 와그너,합신,2009/94,참여 및 교류금지,"현 시대에 사도와 선지자 존재,성경 외 계시 주장, 직통계시 등"
신사도운동피터 와그너,기장,2014/99,도입·참여·교류금지,"성서해석의 오류, 복음의 본질 왜곡,사도의 지배권 등"
신사도운동피터 와그너,기하성여의도,2018,예의주시,"이 시대 사도가 존재한다고 주장,극단적인 신비주의적 감성주의 표방,임파테이션 주장"
"신옥주은혜로교회, 바울사관아카데미영적군사훈련원",합신,2014/99,이단,"성경론, 성경해석, 기독론, 삼위일체론종말론이 이단성으로 가득"
"신옥주은혜로교회, 바울사관아카데미영적군사훈련원",고신,2015/65,참여금지,
"신옥주은혜로교회, 바울사관아카데미영적군사훈련원",통합,2016/101,"이단성, 참여교류금지","자의적 성경해석, 기독론 문제130년 한국보편교회사 부정 및자기 우상화의 문제"
"신옥주은혜로교회, 바울사관아카데미영적군사훈련원",합동,2016/101,집회참석금지,"방언 해석 문제, 목회자 폄하,이상한 기독론"
"신옥주은혜로교회, 바울사관아카데미영적군사훈련원",백석대신,2018/103,이단,"성경관, 해석의 방법, 기독론, 삼위일체론, 구원론, 교회론, 종말론"
"신옥주은혜로교회, 바울사관아카데미영적군사훈련원",기하성여의도,,이단,
심상용월드크리스천성경학연구소,합동,2008/93,엄히 경계,
심재웅사랑교회(구 예수왕권세계선교회),통합,2005/90,"이단성,집회강의 참석금지","교회론, 구원론, 신격화, 밀교적"
심재웅사랑교회(구 예수왕권세계선교회),합동,2005/90,집회참석금지,"사이비, 이단성 농후"
심재웅사랑교회(구 예수왕권세계선교회),합신,2006/91,집회참석금지,"성령왜곡, 주관적 신앙체험 일반화,기성교회 부정, 교주 우상화"
심재웅사랑교회(구 예수왕권세계선교회),기성,2006/100,이단성,"성경왜곡, 교주신격화"
심재웅사랑교회(구 예수왕권세계선교회),고신,2008/58,극단주의적 신비주의,
심재웅사랑교회(구 예수왕권세계선교회),대신,2009/44,예배·집회참석금지,"신학적, 성경적,행태적인 잘못된 모습을 보임"
"아이합IHOP, 마이크 비클",고신,2011/61,불건전운동,"신사도운동과 깊은 연관, 예언운동 주의"
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,통합,2002/87,반기독교적 이단,"교리적 탈선, 성경해석의 오류,왜곡된 구원관"
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,통합,2011/96,반기독교적 이단,"안상홍과 장길자 신격화문제,안식일과 유월절 주장"
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,합신,2003/88,이단,
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,합동,2008/93,이단,
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,고신,2009/59,이단,
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,기감,2014/31,이단,
안상홍안상홍증인회 하나님의교회하나님의교회 세계복음선교협회,기하성여의도,2000,이단,
안식교제칠일안식일예수재림교회,예장총회,15-Apr,면직 제명,"구원론, 안식일, 계시론"
안식교제칠일안식일예수재림교회,통합,1995/80,이단,"구원론, 안식일, 계시론, 영혼멸절, 영원지옥부재 등"
안식교제칠일안식일예수재림교회,고신,2009/59,이단,
안식교제칠일안식일예수재림교회,기감,2014/31,이단,
안식교제칠일안식일예수재림교회,기하성여의도,,이단,
안식교제칠일안식일예수재림교회,합신기성합동,,,
알파코스알파코리아,합신,2008/93,예의주시,
알파코스알파코리아,합신,2009/94,참여금지,
알파코스알파코리아,합동,2008/93,사용주의,
알파코스알파코리아,통합,2009/94,총회의 지도에따를 것을 권함,초신자를 전도하는 긍정적 측면이 있으나기존 남선교회와 여전도회와의 갈등 유발소지 있음
엄명숙명인교회,통합,2001/86,이단,"기독론, 타락관, 계시관, 창조론"
에덴성회이영수,통합,2011/96,이단,"천부교의 이단적 교리를 공유하는 집단,성경 왜곡 등"
여호와의 증인왕국회관,기성,1993/87,이단,"구원론, 교회론, 지옥부재, 삼위일체 부인"
여호와의 증인왕국회관,고신,2009/59,이단,"구원론, 교회론, 지옥부재, 삼위일체 부인"
여호와의 증인왕국회관,통합,2014/99,이단,"성경해석 오류, 삼위일체 교리 부인,행위 구원 주장, 기독교의 정통교리 부인"
여호와의 증인왕국회관,기감,2014/31,이단,
여호와의 증인왕국회관,기하성여의도,,이단,
여호와의 증인왕국회관,기장합신,,,
엄애경동방교(기독교대한개혁장로회),통합,1956/41,이단,"강단에 세울 수 없고, 집회참석도 금지"
예장합동혁신총회(산하 남서울신학교),합동,2002/87,이단성,연옥교리 주장
예태해미국 엠마오선교교회,합동,1994/79,이단성 혐의,"쓰러짐 현상, 주관적 신비체험 등"
예태해미국 엠마오선교교회,기장,1996/81,단호대처,
오성삼한우리교회 전 담임,합신,2009/94,참여 및 교류금지,"지방교회와 같은 교리, 자의적인 성경해석"
요가,통합,2017/102,교회내 요가용어금지참여금지,요가의 기원과 목적자체가이방신을 섬기는 종교적 행위
(인도)요가,백석대신,2018/103,참여금지,"인도 요가는 흰두교인이 되게 하는 수단,흰두교 간접전도 초래"
